i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
14,9,46,50.9731763,1.5,1,0.5,51.17616076,52.33549842,52.33549842,50.7415665,50.99629878,50.82433498,50.97251312,50.7099993,50.70999931
14,10,61,65.7791163,1.5,1,0.5,66.16230652,66.88462684,66.88462684,65.74422853,65.65278165,65.30686131,65.21134926,65.1924409,65.38416276
15,1,46,49.3343041,1.5,1,0.7,49.19993025,50.45891039,50.45891039,49.56843199,49.2872782,49.23967807,49.17450988,49.2598797,49.25987967
15,2,47,49.5013382,1.5,1,0.7,49.38554961,51.91456145,51.91456145,49.87723207,49.46430452,49.38321343,49.54067713,49.1443373,49.10252979
15,3,48,50.690942,1.5,1,0.7,50.55619217,52.99854713,52.99854713,50.61497126,50.71089474,51.0037394,50.77591854,50.6487697,50.64876975
15,4,48,49.8321134,1.5,1,0.7,49.48317321,52.07602397,52.07602397,50.3874852,49.79093063,50.08924474,49.69350609,49.5148575,49.56231887
15,5,58,64.3402475,1.5,1,0.7,64.27671914,65.5052429,65.5052429,63.66779911,63.96369848,64.24632733,64.07910173,63.9548454,63.83742784
15,6,67,70.2997732,1.5,1,0.7,70.28753993,71.62576902,71.62576902,70.23186563,69.45953787,69.33650944,68.45793742,68.3815562,68.33985834
15,7,47,49.487131,1.5,1,0.7,49.50556176,52.26343921,52.26343921,49.25039815,49.02913854,49.02271597,49.03221262,48.9281588,48.95051258
15,8,50,53.394937,1.5,1,0.7,53.4211741,54.74092105,54.74092105,53.78122005,53.2898731,52.62119117,53.4622444,53.0456784,53.04281603
15,9,54,56.8310189,1.5,1,0.7,58.39371884,59.67721696,59.67721696,57.49363504,56.96752655,56.66701511,56.87430314,56.8741309,56.87005967
15,10,65,67.2960293,1.5,1,0.7,68.18203527,71.03233365,71.03233365,67.23572353,66.32464698,66.35609305,67.26091873,66.4189389,66.31365625
16,1,51,53.3434199,1.5,1,1,53.77672376,55.62414498,55.62414498,52.38942782,52.32790617,51.70505874,52.3053392,52.054597,52.05771593
16,2,48,50.2517087,1.5,1,1,51.48293203,55.22704753,55.22704753,50.63513785,50.81186387,50.51032679,49.79599435,49.5587394,50.04240792
16,3,36,38.4316888,1.5,1,1,38.37508702,40.90119294,40.90119294,38.84414792,38.57820183,38.47608286,38.32089162,38.3044395,38.30502256
16,4,47,47.8545298,1.5,1,1,47.84284135,51.79250224,51.79250224,48.93925951,48.40958373,48.25259513,47.83433634,47.7400449,47.7532981
16,5,51,52.0034725,1.5,1,1,51.96977061,54.8127381,54.8127381,53.85609789,52.45144269,52.47972081,52.35161787,51.9886033,51.97445886
16,6,51,52.5974529,1.5,1,1,52.59745294,55.06360053,55.06360053,53.65535261,52.61990577,52.21020744,52.52852746,53.1577283,52.27923561
16,7,34,35.2670155,1.5,1,1,35.19717844,37.98890615,37.98890615,36.21645608,35.99511315,35.91128897,35.99881954,35.0303518,35.02790627
16,8,44,44.4654787,1.5,1,1,44.19866182,48.60008749,48.60008749,45.47129305,45.18453348,45.01718836,44.4875288,44.0547737,44.05375683
16,9,44,44.4743297,1.5,1,1,44.44751378,48.01059252,48.01059252,45.13522346,44.88481671,45.91173579,45.84148588,44.9329552,44.19349409
16,10,51,52.8925936,1.5,1,1,52.83569448,55.11210633,55.11210633,52.85924151,52.00872727,51.8804283,51.42920506,52.4048397,52.08330315
17,1,64,65.8385119,1.8,0.25,0.2,65.83851188,67.4945278,67.4945278,66.90710381,66.55397679,66.26025869,65.90637513,65.8385119,65.83851188
17,2,68,71.056397,1.8,0.25,0.2,71.05639701,72.49701866,72.49701866,71.26129141,71.1627833,71.05523598,70.98342794,70.9762523,70.97625235
17,3,60,61.4107031,1.8,0.25,0.2,61.41070305,65.63116234,65.63116234,62.21889562,61.93178022,61.62354836,61.45999624,61.4107031,61.41070305
17,4,49,51.9981368,1.8,0.25,0.2,51.99813679,54.05500346,54.05500346,52.52769794,52.13793964,51.99566113,51.93980961,51.9230615,51.99299124
17,5,47,49.6211136,1.8,0.25,0.2,49.62111355,52.45244851,52.45244851,50.12536856,49.67777211,49.69206185,49.6221112,49.6211135,49.62111355
17,6,63,65.8427381,1.8,0.25,0.2,65.84273813,68.61724728,68.61724728,66.23652502,65.95544618,65.90817314,65.88414616,65.8422564,65.84225636
17,7,57,59.508243,1.8,0.25,0.2,59.50824298,62.752113,62.752113,60.75515885,60.00677814,59.70627215,59.5172461,59.4956391,59.49563912
17,8,61,63.1693309,1.8,0.25,0.2,63.1693309,64.41759649,64.41759649,63.77204697,63.11099644,63.08975625,62.91278776,62.8664065,62.86433138
17,9,48,50.3834092,1.8,0.25,0.2,50.38340918,52.5760073,52.5760073,50.65870501,50.40824923,50.39370327,50.38348796,50.3813561,50.38135607
17,10,66,69.4291309,1.8,0.25,0.2,69.42913093,72.45097974,72.45097974,69.87190864,69.8298659,69.79307498,69.58210572,69.4291235,69.42912347
18,1,53,54.6677646,1.8,0.25,0.5,54.66776459,57.431609,57.431609,55.63224996,55.21020401,54.82612729,54.70315695,54.6084557,54.6084557
18,2,55,58.5722684,1.8,0.25,0.5,58.57226843,60.73997298,60.73997298,58.91191397,58.75848389,58.60586377,58.5563407,58.5516313,58.55163127
18,3,56,57.3945157,1.8,0.25,0.5,57.39451569,61.45575289,61.45575289,59.27614848,58.8283293,57.96382821,57.74679748,57.3945157,57.39451569
